app,system,size_bytes,throughput_MBps,latency_ns,n_reps,stddev_MBps,source,timestamp
audio_processing,coyote,8192,97.9,0,5,10.2,paper,paper
audio_processing,ushell_mono,8192,98.5,0,5,10.0,paper,paper
audio_processing,ushell,8192,95.0,0,5,10.0,paper,paper
audio_processing,coyote,262144,224.9,0,5,3.4,paper,paper
audio_processing,ushell_mono,262144,226.0,0,5,2.0,paper,paper
audio_processing,ushell,262144,219.0,0,5,2.0,paper,paper
audio_processing,coyote,1048576,225.8,0,5,0.5,paper,paper
audio_processing,ushell_mono,1048576,224.8,0,5,0.5,paper,paper
audio_processing,ushell,1048576,218.8,0,5,0.5,paper,paper
digital_signature,coyote,8192,88.4,0,5,1.2,paper,paper
digital_signature,ushell_mono,8192,87.3,0,5,1.2,paper,paper
digital_signature,ushell,8192,84.8,0,5,1.2,paper,paper
digital_signature,coyote,262144,233.1,0,5,0.2,paper,paper
digital_signature,ushell_mono,262144,233.9,0,5,0.2,paper,paper
digital_signature,ushell,262144,229.4,0,5,0.2,paper,paper
digital_signature,coyote,1048576,239.5,0,5,1.2,paper,paper
digital_signature,ushell_mono,1048576,238.3,0,5,0.2,paper,paper
digital_signature,ushell,1048576,232.3,0,5,0.2,paper,paper
secure_storage,coyote,8192,147.3,0,5,0.5,paper,paper
secure_storage,ushell_mono,8192,146.8,0,5,0.2,paper,paper
secure_storage,ushell,8192,141.0,0,5,0.2,paper,paper
secure_storage,coyote,262144,159.6,0,5,0.0,paper,paper
secure_storage,ushell_mono,262144,158.5,0,5,0.6,paper,paper
secure_storage,ushell,262144,150.5,0,5,0.6,paper,paper
secure_storage,coyote,1048576,159.8,0,5,0.1,paper,paper
secure_storage,ushell_mono,1048576,160.7,0,5,0.1,paper,paper
secure_storage,ushell,1048576,155.7,0,5,0.1,paper,paper
signed_compression,coyote,8192,73.5,0,5,0.1,paper,paper
signed_compression,ushell_mono,8192,74.5,0,5,0.1,paper,paper
signed_compression,ushell,8192,72.3,0,5,0.1,paper,paper
signed_compression,coyote,262144,150.1,0,5,0.5,paper,paper
signed_compression,ushell_mono,262144,149.2,0,5,0.4,paper,paper
signed_compression,ushell,262144,143.7,0,5,0.4,paper,paper
signed_compression,coyote,1048576,154.4,0,5,0.0,paper,paper
signed_compression,ushell_mono,1048576,153.6,0,5,0.0,paper,paper
signed_compression,ushell,1048576,150.6,0,5,0.0,paper,paper
speech_recognition,coyote,8192,82.0,0,5,0.5,paper,paper
speech_recognition,ushell_mono,8192,81.2,0,5,0.5,paper,paper
speech_recognition,ushell,8192,77.4,0,5,0.5,paper,paper
speech_recognition,coyote,262144,69.9,0,5,0.0,paper,paper
speech_recognition,ushell_mono,262144,70.6,0,5,0.0,paper,paper
speech_recognition,ushell,262144,67.8,0,5,0.0,paper,paper
speech_recognition,coyote,1048576,69.6,0,5,0.0,paper,paper
speech_recognition,ushell_mono,1048576,70.2,0,5,0.0,paper,paper
speech_recognition,ushell,1048576,67.4,0,5,0.0,paper,paper
