Copyright 1986-2022 Xilinx, Inc. All Rights Reserved. Copyright 2022-2023 Advanced Micro Devices, Inc. All Rights Reserved.
---------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2023.2 (lin64) Build 4029153 Fri Oct 13 20:13:54 MDT 2023
| Date         : Tue May  5 13:27:07 2026
| Host         : amy running 64-bit NixOS 25.11 (Xantusia)
| Command      : report_utilization -hierarchical -file util_resource_usage.csv
| Design       : cyt_top
| Device       : xcu280-fsvh2892-2L-e
| Speed File   : -2L
| Design State : Routed
---------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+---------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------+----------------+--------------+------------+------------+---------+------+--------+--------+--------+------+------------+
|                                                                         Instance                                                                        |                                               Module                                              |  PR Attribute  | Total PPLOCs | Total LUTs | Logic LUTs | LUTRAMs | SRLs |   FFs  | RAMB36 | RAMB18 | URAM | DSP Blocks |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------+----------------+--------------+------------+------------+---------+------+--------+--------+--------+------+------------+
| cyt_top                                                                                                                                                 |                                                                                             (top) |              - |          258 |     311157 |     286694 |   20514 | 3949 | 523967 |    430 |    289 |  208 |         24 |
|   (cyt_top)                                                                                                                                             |                                                                                             (top) |              - |            - |          0 |          0 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|   inst_shell                                                                                                                                            |                                                                                         shell_top | Reconfigurable |          258 |     230803 |     211871 |   16256 | 2676 | 436816 |    334 |    289 |  208 |         24 |
|     (inst_shell)                                                                                                                                        |                                                                                         shell_top | Reconfigurable |            - |        602 |        602 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|     inst_debug_bridge_dynamic                                                                                                                           |                                                                              debug_bridge_dynamic | Reconfigurable |            - |        465 |        445 |      20 |    0 |    743 |      0 |      0 |    0 |          0 |
|       inst                                                                                                                                              |                                                                      debug_bridge_dynamic_bd_2f3d | Reconfigurable |            - |        465 |        445 |      20 |    0 |    743 |      0 |      0 |    0 |          0 |
|         bs_switch                                                                                                                                       |                                                                               bd_2f3d_bs_switch_0 | Reconfigurable |            - |        161 |        161 |       0 |    0 |    125 |      0 |      0 |    0 |          0 |
|           inst                                                                                                                                          |                                                    bd_2f3d_bs_switch_0_bs_switch_v1_0_3_bs_switch | Reconfigurable |            - |        161 |        161 |       0 |    0 |    125 |      0 |      0 |    0 |          0 |
|             BSCAN_SWITCH.EXT_BSCAN.bscan_switch                                                                                                         |                                                         bd_2f3d_bs_switch_0_bs_switch_v1_0_3_core | Reconfigurable |            - |        161 |        161 |       0 |    0 |    125 |      0 |      0 |    0 |          0 |
