Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2022.1 (lin64) Build 3526262 Mon Apr 18 15:47:01 MDT 2022
| Date         : Fri May  1 14:58:18 2026
| Host         : clara running 64-bit NixOS 25.11 (Xantusia)
| Command      : report_utilization -hierarchical -file util_inter_6.csv
| Design       : cyt_top
| Device       : xcu280-fsvh2892-2L-e
| Speed File   : -2L
| Design State : Physopt postRoute
------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+---------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------+----------------+--------------+------------+------------+---------+------+--------+--------+--------+------+------------+
|                                                                         Instance                                                                        |                                               Module                                              |  PR Attribute  | Total PPLOCs | Total LUTs | Logic LUTs | LUTRAMs | SRLs |   FFs  | RAMB36 | RAMB18 | URAM | DSP Blocks |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------+----------------+--------------+------------+------------+---------+------+--------+--------+--------+------+------------+
| cyt_top                                                                                                                                                 |                                                                                             (top) |              - |          258 |     299519 |     278309 |   18446 | 2764 | 463525 |    423 |     50 |    0 |          0 |
|   (cyt_top)                                                                                                                                             |                                                                                             (top) |              - |            - |          0 |          0 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|   inst_shell                                                                                                                                            |                                                                                         shell_top | Reconfigurable |          258 |     219168 |     203489 |   14188 | 1491 | 376386 |    327 |     50 |    0 |          0 |
|     (inst_shell)                                                                                                                                        |                                                                                         shell_top | Reconfigurable |            - |        662 |        662 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|     inst_debug_bridge_dynamic                                                                                                                           |                                                                              debug_bridge_dynamic | Reconfigurable |            - |        461 |        441 |      20 |    0 |    743 |      0 |      0 |    0 |          0 |
|       inst                                                                                                                                              |                                                                      debug_bridge_dynamic_bd_2f3d | Reconfigurable |            - |        461 |        441 |      20 |    0 |    743 |      0 |      0 |    0 |          0 |
|         bs_switch                                                                                                                                       |                                                                               bd_2f3d_bs_switch_0 | Reconfigurable |            - |        149 |        149 |       0 |    0 |    125 |      0 |      0 |    0 |          0 |
|           inst                                                                                                                                          |                                                    bd_2f3d_bs_switch_0_bs_switch_v1_0_0_bs_switch | Reconfigurable |            - |        149 |        149 |       0 |    0 |    125 |      0 |      0 |    0 |          0 |
|             BSCAN_SWITCH.EXT_BSCAN.bscan_switch                                                                                                         |                                                         bd_2f3d_bs_switch_0_bs_switch_v1_0_0_core | Reconfigurable |            - |        149 |        149 |       0 |    0 |    125 |      0 |      0 |    0 |          0 |
|         lut_buffer                                                                                                                                      |                                                                              bd_2f3d_lut_buffer_0 | Reconfigurable |            - |          1 |          1 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|           (lut_buffer)                                                                                                                                  |                                                                              bd_2f3d_lut_buffer_0 | Reconfigurable |            - |          0 |          0 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|           inst                                                                                                                                          |                                                 bd_2f3d_lut_buffer_0_lut_buffer_v2_0_0_lut_buffer | Reconfigurable |            - |          1 |          1 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|         xsdbm                                                                                                                                           |                                                                                           xsdbm_6 | Reconfigurable |            - |        311 |        291 |      20 |    0 |    618 |      0 |      0 |    0 |          0 |
|           (xsdbm)                                                                                                                                       |                                                                                           xsdbm_6 | Reconfigurable |            - |          0 |          0 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
