Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
-----------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2022.1 (lin64) Build 3526262 Mon Apr 18 15:47:01 MDT 2022
| Date         : Fri Jul  4 13:34:15 2025
| Host         : clara running 64-bit NixOS 24.11 (Vicuna)
| Command      : report_utilization -hierarchical -file /scratch/chenjiyang/microShell_new/build_ceu_3_2_hw/utilization_report.csv
| Design       : cyt_top
| Device       : xcu280-fsvh2892-2L-e
| Speed File   : -2L
| Design State : Physopt postRoute
-----------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+---------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------+----------------+--------------+------------+------------+---------+------+--------+--------+--------+------+------------+
|                                                                         Instance                                                                        |                                               Module                                              |  PR Attribute  | Total PPLOCs | Total LUTs | Logic LUTs | LUTRAMs | SRLs |   FFs  | RAMB36 | RAMB18 | URAM | DSP Blocks |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------+----------------+--------------+------------+------------+---------+------+--------+--------+--------+------+------------+
| cyt_top                                                                                                                                                 |                                                                                             (top) |              - |          258 |     214579 |     195704 |   12242 | 6633 | 330407 |    318 |     32 |    0 |          0 |
|   (cyt_top)                                                                                                                                             |                                                                                             (top) |              - |            - |          0 |          0 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|   inst_shell                                                                                                                                            |                                                                                         shell_top | Reconfigurable |          258 |     134257 |     120913 |    7984 | 5360 | 243282 |    222 |     32 |    0 |          0 |
|     (inst_shell)                                                                                                                                        |                                                                                         shell_top | Reconfigurable |            - |        580 |        580 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|     inst_debug_bridge_dynamic                                                                                                                           |                                                                              debug_bridge_dynamic | Reconfigurable |            - |        545 |        525 |      20 |    0 |    846 |      0 |      0 |    0 |          0 |
|       inst                                                                                                                                              |                                                                      debug_bridge_dynamic_bd_2f3d | Reconfigurable |            - |        545 |        525 |      20 |    0 |    846 |      0 |      0 |    0 |          0 |
|         bs_switch                                                                                                                                       |                                                                               bd_2f3d_bs_switch_0 | Reconfigurable |            - |        134 |        134 |       0 |    0 |    125 |      0 |      0 |    0 |          0 |
|           inst                                                                                                                                          |                                                    bd_2f3d_bs_switch_0_bs_switch_v1_0_0_bs_switch | Reconfigurable |            - |        134 |        134 |       0 |    0 |    125 |      0 |      0 |    0 |          0 |
|             BSCAN_SWITCH.EXT_BSCAN.bscan_switch                                                                                                         |                                                         bd_2f3d_bs_switch_0_bs_switch_v1_0_0_core | Reconfigurable |            - |        134 |        134 |       0 |    0 |    125 |      0 |      0 |    0 |          0 |
|         lut_buffer                                                                                                                                      |                                                                              bd_2f3d_lut_buffer_0 | Reconfigurable |            - |          1 |          1 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|           (lut_buffer)                                                                                                                                  |                                                                              bd_2f3d_lut_buffer_0 | Reconfigurable |            - |          0 |          0 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|           inst                                                                                                                                          |                                                 bd_2f3d_lut_buffer_0_lut_buffer_v2_0_0_lut_buffer | Reconfigurable |            - |          1 |          1 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|         xsdbm                                                                                                                                           |                                                                                           xsdbm_3 | Reconfigurable |            - |        411 |        391 |      20 |    0 |    721 |      0 |      0 |    0 |          0 |
|           (xsdbm)                                                                                                                                       |                                                                                           xsdbm_3 | Reconfigurable |            - |          0 |          0 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|           inst                                                                                                                                          |                                                                        xsdbm_3_xsdbm_v3_0_0_xsdbm | Reconfigurable |            - |        411 |        391 |      20 |    0 |    721 |      0 |      0 |    0 |          0 |
|             BSCANID.u_xsdbm_id                                                                                                                          |                                                                     xsdbm_3_xsdbm_v3_0_0_xsdbm_id | Reconfigurable |            - |        411 |        391 |      20 |    0 |    721 |      0 |      0 |    0 |          0 |
|               (BSCANID.u_xsdbm_id)                                                                                                                      |                                                                     xsdbm_3_xsdbm_v3_0_0_xsdbm_id | Reconfigurable |            - |         34 |         34 |       0 |    0 |     36 |      0 |      0 |    0 |          0 |
|               CORE_XSDB.UUT_MASTER                                                                                                                      |                                                                    xsdbm_3_xsdbm_v3_0_0_icon2xsdb | Reconfigurable |            - |        362 |        342 |      20 |    0 |    657 |      0 |      0 |    0 |          0 |
|                 U_ICON_INTERFACE                                                                                                                        |                                                                           xsdbm_3_xsdbm_v3_0_0_if | Reconfigurable |            - |        188 |        168 |      20 |    0 |    504 |      0 |      0 |    0 |          0 |
|                   (U_ICON_INTERFACE)                                                                                                                    |                                                                           xsdbm_3_xsdbm_v3_0_0_if | Reconfigurable |            - |          6 |          6 |       0 |    0 |     15 |      0 |      0 |    0 |          0 |
|                   U_CMD1                                                                                                                                |                                                                      xsdbm_3_xsdbm_v3_0_0_ctl_reg | Reconfigurable |            - |         11 |         11 |       0 |    0 |     28 |      0 |      0 |    0 |          0 |
|                   U_CMD2                                                                                                                                |                                                                     xsdbm_3_xsdbm_v3_0_0_stat_reg | Reconfigurable |            - |          5 |          5 |       0 |    0 |     22 |      0 |      0 |    0 |          0 |
|                   U_CMD3                                                                                                                                |                                                     xsdbm_3_xsdbm_v3_0_0_stat_reg__parameterized0 | Reconfigurable |            - |         13 |         13 |       0 |    0 |     54 |      0 |      0 |    0 |          0 |
|                   U_CMD4                                                                                                                                |                                                      xsdbm_3_xsdbm_v3_0_0_ctl_reg__parameterized0 | Reconfigurable |            - |         26 |         26 |       0 |    0 |     62 |      0 |      0 |    0 |          0 |
|                   U_CMD5                                                                                                                                |                                                      xsdbm_3_xsdbm_v3_0_0_ctl_reg__parameterized1 | Reconfigurable |            - |         10 |         10 |       0 |    0 |     42 |      0 |      0 |    0 |          0 |
|                   U_CMD6_RD                                                                                                                             |                                                                        xsdbm_3_xsdbm_v3_0_0_rdreg | Reconfigurable |            - |         62 |         52 |      10 |    0 |    134 |      0 |      0 |    0 |          0 |
|                     (U_CMD6_RD)                                                                                                                         |                                                                        xsdbm_3_xsdbm_v3_0_0_rdreg | Reconfigurable |            - |          2 |          2 |       0 |    0 |     20 |      0 |      0 |    0 |          0 |
|                     U_RD_FIFO                                                                                                                           |                                                                       xsdbm_3_xsdbm_v3_0_0_rdfifo | Reconfigurable |            - |         60 |         50 |      10 |    0 |    114 |      0 |      0 |    0 |          0 |
|                       (U_RD_FIFO)                                                                                                                       |                                                                       xsdbm_3_xsdbm_v3_0_0_rdfifo | Reconfigurable |            - |         17 |         17 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|                       SUBCORE_FIFO.xsdbm_v3_0_0_rdfifo_inst                                                                                             |                                                    xsdbm_3_fifo_generator_v13_1_4__parameterized0 | Reconfigurable |            - |         43 |         33 |      10 |    0 |    114 |      0 |      0 |    0 |          0 |
|                         (SUBCORE_FIFO.xsdbm_v3_0_0_rdfifo_inst)                                                                                         |                                                    xsdbm_3_fifo_generator_v13_1_4__parameterized0 | Reconfigurable |            - |          0 |          0 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|                         inst_fifo_gen                                                                                                                   |                                              xsdbm_3_fifo_generator_v13_1_4_synth__parameterized0 | Reconfigurable |            - |         43 |         33 |      10 |    0 |    114 |      0 |      0 |    0 |          0 |
|                           gconvfifo.rf                                                                                                                  |                                                        xsdbm_3_fifo_generator_top__parameterized0 | Reconfigurable |            - |         43 |         33 |      10 |    0 |    114 |      0 |      0 |    0 |          0 |
|                             grf.rf                                                                                                                      |                                                    xsdbm_3_fifo_generator_ramfifo__parameterized0 | Reconfigurable |            - |         43 |         33 |      10 |    0 |    114 |      0 |      0 |    0 |          0 |
|                               gntv_or_sync_fifo.gcx.clkx                                                                                                |                                                                             xsdbm_3_clk_x_pntrs_6 | Reconfigurable |            - |         12 |         12 |       0 |    0 |     32 |      0 |      0 |    0 |          0 |
|                                 (gntv_or_sync_fifo.gcx.clkx)                                                                                            |                                                                             xsdbm_3_clk_x_pntrs_6 | Reconfigurable |            - |         10 |         10 |       0 |    0 |     16 |      0 |      0 |    0 |          0 |
|                                 gnxpm_cdc.gsync_stage[1].rd_stg_inst                                                                                    |                                                        xsdbm_3_synchronizer_ff__parameterized0_18 | Reconfigurable |            - |          0 |          0 |       0 |    0 |      4 |      0 |      0 |    0 |          0 |
|                                 gnxpm_cdc.gsync_stage[1].wr_stg_inst                                                                                    |                                                        xsdbm_3_synchronizer_ff__parameterized0_19 | Reconfigurable |            - |          0 |          0 |       0 |    0 |      4 |      0 |      0 |    0 |          0 |
|                                 gnxpm_cdc.gsync_stage[2].rd_stg_inst                                                                                    |                                                        xsdbm_3_synchronizer_ff__parameterized0_20 | Reconfigurable |            - |          1 |          1 |       0 |    0 |      4 |      0 |      0 |    0 |          0 |
|                                 gnxpm_cdc.gsync_stage[2].wr_stg_inst                                                                                    |                                                        xsdbm_3_synchronizer_ff__parameterized0_21 | Reconfigurable |            - |          1 |          1 |       0 |    0 |      4 |      0 |      0 |    0 |          0 |
|                               gntv_or_sync_fifo.gl0.rd                                                                                                  |                                                                  xsdbm_3_rd_logic__parameterized0 | Reconfigurable |            - |         14 |         14 |       0 |    0 |     19 |      0 |      0 |    0 |          0 |
|                                 gr1.gr1_int.rfwft                                                                                                       |                                                                                   xsdbm_3_rd_fwft | Reconfigurable |            - |          7 |          7 |       0 |    0 |      8 |      0 |      0 |    0 |          0 |
|                                 gras.rsts                                                                                                               |                                                                     xsdbm_3_rd_status_flags_as_16 | Reconfigurable |            - |          0 |          0 |       0 |    0 |      2 |      0 |      0 |    0 |          0 |
|                                 grhf.rhf                                                                                                                |                                                      xsdbm_3_rd_handshaking_flags__parameterized0 | Reconfigurable |            - |          0 |          0 |       0 |    0 |      1 |      0 |      0 |    0 |          0 |
|                                 rpntr                                                                                                                   |                                                                            xsdbm_3_rd_bin_cntr_17 | Reconfigurable |            - |          7 |          7 |       0 |    0 |      8 |      0 |      0 |    0 |          0 |
|                               gntv_or_sync_fifo.gl0.wr                                                                                                  |                                                                  xsdbm_3_wr_logic__parameterized0 | Reconfigurable |            - |          5 |          5 |       0 |    0 |     15 |      0 |      0 |    0 |          0 |
|                                 gwas.wsts                                                                                                               |                                                                     xsdbm_3_wr_status_flags_as_13 | Reconfigurable |            - |          2 |          2 |       0 |    0 |      2 |      0 |      0 |    0 |          0 |
|                                 gwhf.whf                                                                                                                |                                                                   xsdbm_3_wr_handshaking_flags_14 | Reconfigurable |            - |          0 |          0 |       0 |    0 |      1 |      0 |      0 |    0 |          0 |
|                                 wpntr                                                                                                                   |                                                                            xsdbm_3_wr_bin_cntr_15 | Reconfigurable |            - |          3 |          3 |       0 |    0 |     12 |      0 |      0 |    0 |          0 |
|                               gntv_or_sync_fifo.mem                                                                                                     |                                                                    xsdbm_3_memory__parameterized0 | Reconfigurable |            - |         10 |          0 |      10 |    0 |     32 |      0 |      0 |    0 |          0 |
|                                 (gntv_or_sync_fifo.mem)                                                                                                 |                                                                    xsdbm_3_memory__parameterized0 | Reconfigurable |            - |          0 |          0 |       0 |    0 |     16 |      0 |      0 |    0 |          0 |
|                                 gdm.dm_gen.dm                                                                                                           |                                                                                   xsdbm_3_dmem_12 | Reconfigurable |            - |         10 |          0 |      10 |    0 |     16 |      0 |      0 |    0 |          0 |
|                               rstblk                                                                                                                    |                                                                       xsdbm_3_reset_blk_ramfifo_7 | Reconfigurable |            - |          2 |          2 |       0 |    0 |     16 |      0 |      0 |    0 |          0 |
|                                 (rstblk)                                                                                                                |                                                                       xsdbm_3_reset_blk_ramfifo_7 | Reconfigurable |            - |          0 |          0 |       0 |    0 |     12 |      0 |      0 |    0 |          0 |
|                                 ngwrdrst.grst.g7serrst.gwrrd_rst_sync_stage[1].rrst_inst                                                                |                                                                         xsdbm_3_synchronizer_ff_8 | Reconfigurable |            - |          1 |          1 |       0 |    0 |      1 |      0 |      0 |    0 |          0 |
|                                 ngwrdrst.grst.g7serrst.gwrrd_rst_sync_stage[1].wrst_inst                                                                |                                                                         xsdbm_3_synchronizer_ff_9 | Reconfigurable |            - |          1 |          1 |       0 |    0 |      1 |      0 |      0 |    0 |          0 |
|                                 ngwrdrst.grst.g7serrst.gwrrd_rst_sync_stage[2].rrst_inst                                                                |                                                                        xsdbm_3_synchronizer_ff_10 | Reconfigurable |            - |          1 |          1 |       0 |    0 |      1 |      0 |      0 |    0 |          0 |
|                                 ngwrdrst.grst.g7serrst.gwrrd_rst_sync_stage[2].wrst_inst                                                                |                                                                        xsdbm_3_synchronizer_ff_11 | Reconfigurable |            - |          1 |          1 |       0 |    0 |      1 |      0 |      0 |    0 |          0 |
|                   U_CMD6_WR                                                                                                                             |                                                                        xsdbm_3_xsdbm_v3_0_0_wrreg | Reconfigurable |            - |         41 |         31 |      10 |    0 |    110 |      0 |      0 |    0 |          0 |
|                     (U_CMD6_WR)                                                                                                                         |                                                                        xsdbm_3_xsdbm_v3_0_0_wrreg | Reconfigurable |            - |          2 |          2 |       0 |    0 |     20 |      0 |      0 |    0 |          0 |
|                     U_WR_FIFO                                                                                                                           |                                                                       xsdbm_3_xsdbm_v3_0_0_wrfifo | Reconfigurable |            - |         39 |         29 |      10 |    0 |     90 |      0 |      0 |    0 |          0 |
|                       (U_WR_FIFO)                                                                                                                       |                                                                       xsdbm_3_xsdbm_v3_0_0_wrfifo | Reconfigurable |            - |          1 |          1 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|                       SUBCORE_FIFO.xsdbm_v3_0_0_wrfifo_inst                                                                                             |                                                                    xsdbm_3_fifo_generator_v13_1_4 | Reconfigurable |            - |         38 |         28 |      10 |    0 |     90 |      0 |      0 |    0 |          0 |
|                         (SUBCORE_FIFO.xsdbm_v3_0_0_wrfifo_inst)                                                                                         |                                                                    xsdbm_3_fifo_generator_v13_1_4 | Reconfigurable |            - |          0 |          0 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|                         inst_fifo_gen                                                                                                                   |                                                              xsdbm_3_fifo_generator_v13_1_4_synth | Reconfigurable |            - |         38 |         28 |      10 |    0 |     90 |      0 |      0 |    0 |          0 |
|                           gconvfifo.rf                                                                                                                  |                                                                        xsdbm_3_fifo_generator_top | Reconfigurable |            - |         38 |         28 |      10 |    0 |     90 |      0 |      0 |    0 |          0 |
|                             grf.rf                                                                                                                      |                                                                    xsdbm_3_fifo_generator_ramfifo | Reconfigurable |            - |         38 |         28 |      10 |    0 |     90 |      0 |      0 |    0 |          0 |
|                               gntv_or_sync_fifo.gcx.clkx                                                                                                |                                                                               xsdbm_3_clk_x_pntrs | Reconfigurable |            - |         11 |         11 |       0 |    0 |     32 |      0 |      0 |    0 |          0 |
|                                 (gntv_or_sync_fifo.gcx.clkx)                                                                                            |                                                                               xsdbm_3_clk_x_pntrs | Reconfigurable |            - |          9 |          9 |       0 |    0 |     16 |      0 |      0 |    0 |          0 |
|                                 gnxpm_cdc.gsync_stage[1].rd_stg_inst                                                                                    |                                                           xsdbm_3_synchronizer_ff__parameterized0 | Reconfigurable |            - |          0 |          0 |       0 |    0 |      4 |      0 |      0 |    0 |          0 |
|                                 gnxpm_cdc.gsync_stage[1].wr_stg_inst                                                                                    |                                                         xsdbm_3_synchronizer_ff__parameterized0_3 | Reconfigurable |            - |          0 |          0 |       0 |    0 |      4 |      0 |      0 |    0 |          0 |
|                                 gnxpm_cdc.gsync_stage[2].rd_stg_inst                                                                                    |                                                         xsdbm_3_synchronizer_ff__parameterized0_4 | Reconfigurable |            - |          1 |          1 |       0 |    0 |      4 |      0 |      0 |    0 |          0 |
|                                 gnxpm_cdc.gsync_stage[2].wr_stg_inst                                                                                    |                                                         xsdbm_3_synchronizer_ff__parameterized0_5 | Reconfigurable |            - |          1 |          1 |       0 |    0 |      4 |      0 |      0 |    0 |          0 |
|                               gntv_or_sync_fifo.gl0.rd                                                                                                  |                                                                                  xsdbm_3_rd_logic | Reconfigurable |            - |         10 |         10 |       0 |    0 |     11 |      0 |      0 |    0 |          0 |
|                                 gras.rsts                                                                                                               |                                                                        xsdbm_3_rd_status_flags_as | Reconfigurable |            - |          2 |          2 |       0 |    0 |      2 |      0 |      0 |    0 |          0 |
|                                 grhf.rhf                                                                                                                |                                                                      xsdbm_3_rd_handshaking_flags | Reconfigurable |            - |          0 |          0 |       0 |    0 |      1 |      0 |      0 |    0 |          0 |
|                                 rpntr                                                                                                                   |                                                                               xsdbm_3_rd_bin_cntr | Reconfigurable |            - |          8 |          8 |       0 |    0 |      8 |      0 |      0 |    0 |          0 |
|                               gntv_or_sync_fifo.gl0.wr                                                                                                  |                                                                                  xsdbm_3_wr_logic | Reconfigurable |            - |          5 |          5 |       0 |    0 |     15 |      0 |      0 |    0 |          0 |
|                                 gwas.wsts                                                                                                               |                                                                        xsdbm_3_wr_status_flags_as | Reconfigurable |            - |          2 |          2 |       0 |    0 |      2 |      0 |      0 |    0 |          0 |
|                                 gwhf.whf                                                                                                                |                                                                      xsdbm_3_wr_handshaking_flags | Reconfigurable |            - |          0 |          0 |       0 |    0 |      1 |      0 |      0 |    0 |          0 |
|                                 wpntr                                                                                                                   |                                                                               xsdbm_3_wr_bin_cntr | Reconfigurable |            - |          3 |          3 |       0 |    0 |     12 |      0 |      0 |    0 |          0 |
|                               gntv_or_sync_fifo.mem                                                                                                     |                                                                                    xsdbm_3_memory | Reconfigurable |            - |         10 |          0 |      10 |    0 |     16 |      0 |      0 |    0 |          0 |
|                                 gdm.dm_gen.dm                                                                                                           |                                                                                      xsdbm_3_dmem | Reconfigurable |            - |         10 |          0 |      10 |    0 |     16 |      0 |      0 |    0 |          0 |
|                               rstblk                                                                                                                    |                                                                         xsdbm_3_reset_blk_ramfifo | Reconfigurable |            - |          4 |          4 |       0 |    0 |     16 |      0 |      0 |    0 |          0 |
|                                 (rstblk)                                                                                                                |                                                                         xsdbm_3_reset_blk_ramfifo | Reconfigurable |            - |          0 |          0 |       0 |    0 |     12 |      0 |      0 |    0 |          0 |
|                                 ngwrdrst.grst.g7serrst.gwrrd_rst_sync_stage[1].rrst_inst                                                                |                                                                           xsdbm_3_synchronizer_ff | Reconfigurable |            - |          1 |          1 |       0 |    0 |      1 |      0 |      0 |    0 |          0 |
|                                 ngwrdrst.grst.g7serrst.gwrrd_rst_sync_stage[1].wrst_inst                                                                |                                                                         xsdbm_3_synchronizer_ff_0 | Reconfigurable |            - |          1 |          1 |       0 |    0 |      1 |      0 |      0 |    0 |          0 |
|                                 ngwrdrst.grst.g7serrst.gwrrd_rst_sync_stage[2].rrst_inst                                                                |                                                                         xsdbm_3_synchronizer_ff_1 | Reconfigurable |            - |          1 |          1 |       0 |    0 |      1 |      0 |      0 |    0 |          0 |
|                                 ngwrdrst.grst.g7serrst.gwrrd_rst_sync_stage[2].wrst_inst                                                                |                                                                         xsdbm_3_synchronizer_ff_2 | Reconfigurable |            - |          1 |          1 |       0 |    0 |      1 |      0 |      0 |    0 |          0 |
|                   U_CMD7_CTL                                                                                                                            |                                                      xsdbm_3_xsdbm_v3_0_0_ctl_reg__parameterized2 | Reconfigurable |            - |          2 |          2 |       0 |    0 |     12 |      0 |      0 |    0 |          0 |
|                   U_CMD7_STAT                                                                                                                           |                                                     xsdbm_3_xsdbm_v3_0_0_stat_reg__parameterized1 | Reconfigurable |            - |          4 |          4 |       0 |    0 |     18 |      0 |      0 |    0 |          0 |
|                   U_STATIC_STATUS                                                                                                                       |                                                             xsdbm_3_xsdbm_v3_0_0_if_static_status | Reconfigurable |            - |          9 |          9 |       0 |    0 |      7 |      0 |      0 |    0 |          0 |
|                 U_XSDB_ADDRESS_CONTROLLER                                                                                                               |                                                                     xsdbm_3_xsdbm_v3_0_0_addr_ctl | Reconfigurable |            - |         17 |         17 |       0 |    0 |     19 |      0 |      0 |    0 |          0 |
|                 U_XSDB_BURST_WD_LEN_CONTROLLER                                                                                                          |                                                              xsdbm_3_xsdbm_v3_0_0_burst_wdlen_ctl | Reconfigurable |            - |         22 |         22 |       0 |    0 |     20 |      0 |      0 |    0 |          0 |
|                 U_XSDB_BUS_CONTROLLER                                                                                                                   |                                                                      xsdbm_3_xsdbm_v3_0_0_bus_ctl | Reconfigurable |            - |         84 |         84 |       0 |    0 |     97 |      0 |      0 |    0 |          0 |
|                   (U_XSDB_BUS_CONTROLLER)                                                                                                               |                                                                      xsdbm_3_xsdbm_v3_0_0_bus_ctl | Reconfigurable |            - |         11 |         11 |       0 |    0 |     86 |      0 |      0 |    0 |          0 |
|                   U_RD_ABORT_FLAG                                                                                                                       |                                                  xsdbm_3_xsdbm_v3_0_0_bus_ctl_flg__parameterized0 | Reconfigurable |            - |          2 |          2 |       0 |    0 |      1 |      0 |      0 |    0 |          0 |
|                   U_RD_REQ_FLAG                                                                                                                         |                                                                  xsdbm_3_xsdbm_v3_0_0_bus_ctl_flg | Reconfigurable |            - |          5 |          5 |       0 |    0 |      2 |      0 |      0 |    0 |          0 |
|                   U_TIMER                                                                                                                               |                                                                  xsdbm_3_xsdbm_v3_0_0_bus_ctl_cnt | Reconfigurable |            - |         67 |         67 |       0 |    0 |      8 |      0 |      0 |    0 |          0 |
|                 U_XSDB_BUS_MSTR2SL_PORT_IFACE                                                                                                           |                                                               xsdbm_3_xsdbm_v3_0_0_bus_mstr2sl_if | Reconfigurable |            - |         52 |         52 |       0 |    0 |     17 |      0 |      0 |    0 |          0 |
