Folder,all_in_one (22),all_in_one_adas (20),colordetect (6),cornertracker (3),defect_detection (3),gaussiandifference (5),isp_24bit_decompand (23),isp_multistream (20),isppipeline (14),isppipeline_autogain (15),isppipeline_gtm (14),isppipeline_hdr (15),isppipeline_mono (7),isppipeline_rgbir (12),letterbox (4),stereopipeline (5),tvl1 (5)
all_in_one (22),1.0,0.8261,0.0769,0.08,0.0625,0.08,0.7308,0.1053,0.5652,0.5417,0.5652,0.6087,0.2083,0.4783,0.0833,0.08,0.0769
all_in_one_adas (20),0.8261,1.0,0.0833,0.087,0.0667,0.087,0.72,0.1429,0.7,0.6667,0.7,0.75,0.2273,0.6,0.0909,0.087,0.0833
colordetect (6),0.0769,0.0833,1.0,0.2222,0.125,0.2222,0.0741,0.0833,0.1111,0.1053,0.1111,0.1053,0.1818,0.125,0.25,0.2222,0.2
cornertracker (3),0.08,0.087,0.2222,1.0,0.1333,0.25,0.0769,0.087,0.1176,0.1111,0.1176,0.1111,0.2,0.1333,0.2857,0.25,0.2222
defect_detection (3),0.0625,0.0667,0.125,0.1333,1.0,0.3077,0.0938,0.0667,0.0833,0.08,0.0833,0.08,0.1875,0.0909,0.1429,0.1333,0.2
gaussiandifference (5),0.08,0.087,0.2222,0.25,0.3077,1.0,0.12,0.087,0.1176,0.1111,0.1176,0.1111,0.2,0.1333,0.2857,0.25,0.2222
isp_24bit_decompand (23),0.7308,0.72,0.0741,0.0769,0.0938,0.12,1.0,0.1026,0.6087,0.5833,0.6087,0.5833,0.2,0.5217,0.08,0.0769,0.0741
isp_multistream (20),0.1053,0.1429,0.0833,0.087,0.0667,0.087,0.1026,1.0,0.1333,0.129,0.0968,0.129,0.125,0.1429,0.0909,0.087,0.0833
isppipeline (14),0.5652,0.7,0.1111,0.1176,0.0833,0.1176,0.6087,0.1333,1.0,0.9333,0.8667,0.9333,0.3125,0.7333,0.125,0.1176,0.1111
isppipeline_autogain (15),0.5417,0.6667,0.1053,0.1111,0.08,0.1111,0.5833,0.129,0.9333,1.0,0.8125,0.875,0.2941,0.6875,0.1176,0.1111,0.1053
isppipeline_gtm (14),0.5652,0.7,0.1111,0.1176,0.0833,0.1176,0.6087,0.0968,0.8667,0.8125,1.0,0.8125,0.2353,0.625,0.125,0.1176,0.1111
isppipeline_hdr (15),0.6087,0.75,0.1053,0.1111,0.08,0.1111,0.5833,0.129,0.9333,0.875,0.8125,1.0,0.2941,0.6875,0.1176,0.1111,0.1053
isppipeline_mono (7),0.2083,0.2273,0.1818,0.2,0.1875,0.2,0.2,0.125,0.3125,0.2941,0.2353,0.2941,1.0,0.2667,0.2222,0.2,0.3
isppipeline_rgbir (12),0.4783,0.6,0.125,0.1333,0.0909,0.1333,0.5217,0.1429,0.7333,0.6875,0.625,0.6875,0.2667,1.0,0.1429,0.1333,0.125
letterbox (4),0.0833,0.0909,0.25,0.2857,0.1429,0.2857,0.08,0.0909,0.125,0.1176,0.125,0.1176,0.2222,0.1429,1.0,0.2857,0.4286
stereopipeline (5),0.08,0.087,0.2222,0.25,0.1333,0.25,0.0769,0.087,0.1176,0.1111,0.1176,0.1111,0.2,0.1333,0.2857,1.0,0.2222
tvl1 (5),0.0769,0.0833,0.2,0.2222,0.2,0.2222,0.0741,0.0833,0.1111,0.1053,0.1111,0.1053,0.3,0.125,0.4286,0.2222,1.0
